FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.05.01.02.01;R0430;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0440;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0500;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0550;C0090;;27;1;11.09.2015;124;
