FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ
S.17.01.02.01;R0260;C0050;846074.0
S.17.01.02.01;R0260;C0060;418924.0
S.17.01.02.01;R0260;C0070;20630.0
S.17.01.02.01;R0260;C0080;397642.0
S.17.01.02.01;R0260;C0090;355479.0
S.17.01.02.01;R0260;C0100;19371.0
S.17.01.02.01;R0260;C0110;
S.17.01.02.01;R0260;C0120;
S.17.01.02.01;R0260;C0130;
S.17.01.02.01;R0260;C0140;
S.17.01.02.01;R0260;C0150;
S.17.01.02.01;R0260;C0160;
S.17.01.02.01;R0260;C0170;
S.17.01.02.01;R0260;C0180;
S.17.01.02.01;R0270;C0020;3164.0
S.17.01.02.01;R0270;C0030;15080.0
S.17.01.02.01;R0270;C0040;0.0
S.17.01.02.01;R0270;C0050;795897.0
S.17.01.02.01;R0270;C0060;419870.0
S.17.01.02.01;R0270;C0070;9467.0
S.17.01.02.01;R0270;C0080;328339.0
S.17.01.02.01;R0270;C0090;296302.0
S.17.01.02.01;R0270;C0100;12531.0
S.17.01.02.01;R0270;C0110;
S.17.01.02.01;R0270;C0120;
S.17.01.02.01;R0270;C0130;
S.17.01.02.01;R0270;C0140;
S.17.01.02.01;R0270;C0150;
S.17.01.02.01;R0270;C0160;
S.17.01.02.01;R0270;C0170;
S.17.01.02.01;R0270;C0180;
S.17.01.02.01;R0280;C0020;254.0
S.17.01.02.01;R0280;C0030;2533.0
S.17.01.02.01;R0280;C0040;0.0
S.17.01.02.01;R0280;C0050;27219.0
S.17.01.02.01;R0280;C0060;20527.0
S.17.01.02.01;R0280;C0070;265.0
S.17.01.02.01;R0280;C0080;19159.0
S.17.01.02.01;R0280;C0090;12666.0
S.17.01.02.01;R0280;C0100;544.0
S.17.01.02.01;R0280;C0110;
S.17.01.02.01;R0280;C0120;
S.17.01.02.01;R0280;C0130;
S.17.01.02.01;R0280;C0140;
S.17.01.02.01;R0280;C0150;
S.17.01.02.01;R0280;C0160;
S.17.01.02.01;R0280;C0170;
S.17.01.02.01;R0280;C0180;
S.17.01.02.01;R0290;C0020;0.0
S.17.01.02.01;R0290;C0030;0.0
S.17.01.02.01;R0290;C0040;0.0
S.17.01.02.01;R0290;C0050;0.0
S.17.01.02.01;R0290;C0060;0.0
S.17.01.02.01;R0290;C0070;0.0
S.17.01.02.01;R0290;C0080;0.0
S.17.01.02.01;R0290;C0090;0.0
S.17.01.02.01;R0290;C0100;0.0
S.17.01.02.01;R0290;C0110;
S.17.01.02.01;R0290;C0120;
S.17.01.02.01;R0290;C0130;
S.17.01.02.01;R0290;C0140;
S.17.01.02.01;R0290;C0150;
S.17.01.02.01;R0290;C0160;
S.17.01.02.01;R0290;C0170;
S.17.01.02.01;R0290;C0180;
S.17.01.02.01;R0300;C0020;0.0
S.17.01.02.01;R0300;C0030;0.0
S.17.01.02.01;R0300;C0040;0.0
S.17.01.02.01;R0300;C0050;0.0
S.17.01.02.01;R0300;C0060;0.0
S.17.01.02.01;R0300;C0070;0.0
S.17.01.02.01;R0300;C0080;0.0
S.17.01.02.01;R0300;C0090;0.0
S.17.01.02.01;R0300;C0100;0.0
S.17.01.02.01;R0300;C0110;
S.17.01.02.01;R0300;C0120;
S.17.01.02.01;R0300;C0130;
S.17.01.02.01;R0300;C0140;
S.17.01.02.01;R0300;C0150;
S.17.01.02.01;R0300;C0160;
S.17.01.02.01;R0300;C0170;
S.17.01.02.01;R0300;C0180;
S.17.01.02.01;R0310;C0020;0.0
S.17.01.02.01;R0310;C0030;0.0
S.17.01.02.01;R0310;C0040;0.0
S.17.01.02.01;R0310;C0050;0.0
S.17.01.02.01;R0310;C0060;0.0
S.17.01.02.01;R0310;C0070;0.0
S.17.01.02.01;R0310;C0080;0.0
S.17.01.02.01;R0310;C0090;0.0
S.17.01.02.01;R0310;C0100;0.0
S.17.01.02.01;R0310;C0110;
S.17.01.02.01;R0310;C0120;
S.17.01.02.01;R0310;C0130;
S.17.01.02.01;R0310;C0140;
S.17.01.02.01;R0310;C0150;
S.17.01.02.01;R0310;C0160;
S.17.01.02.01;R0310;C0170;
S.17.01.02.01;R0310;C0180;
S.17.01.02.01;R0320;C0020;19003.0
S.17.01.02.01;R0320;C0030;18775.0
S.17.01.02.01;R0320;C0040;0.0
S.17.01.02.01;R0320;C0050;873293.0
S.17.01.02.01;R0320;C0060;439451.0
S.17.01.02.01;R0320;C0070;20895.0
S.17.01.02.01;R0320;C0080;416801.0
S.17.01.02.01;R0320;C0090;368145.0
S.17.01.02.01;R0320;C0100;19916.0
S.17.01.02.01;R0320;C0110;
S.17.01.02.01;R0320;C0120;
S.17.01.02.01;R0320;C0130;
S.17.01.02.01;R0320;C0140;
S.17.01.02.01;R0320;C0150;
S.17.01.02.01;R0320;C0160;
S.17.01.02.01;R0320;C0170;
S.17.01.02.01;R0320;C0180;
S.17.01.02.01;R0330;C0020;15585.0
S.17.01.02.01;R0330;C0030;1162.0
S.17.01.02.01;R0330;C0040;0.0
S.17.01.02.01;R0330;C0050;50177.0
S.17.01.02.01;R0330;C0060;-946.0
S.17.01.02.01;R0330;C0070;11163.0
S.17.01.02.01;R0330;C0080;69302.0
S.17.01.02.01;R0330;C0090;59177.0
S.17.01.02.01;R0330;C0100;6841.0
S.17.01.02.01;R0330;C0110;
S.17.01.02.01;R0330;C0120;
S.17.01.02.01;R0330;C0130;
S.17.01.02.01;R0330;C0140;
S.17.01.02.01;R0330;C0150;
S.17.01.02.01;R0330;C0160;
S.17.01.02.01;R0330;C0170;
S.17.01.02.01;R0330;C0180;
S.17.01.02.01;R0340;C0020;3418.0
S.17.01.02.01;R0340;C0030;17613.0
S.17.01.02.01;R0340;C0040;0.0
S.17.01.02.01;R0340;C0050;823116.0
S.17.01.02.01;R0340;C0060;440397.0
S.17.01.02.01;R0340;C0070;9732.0
S.17.01.02.01;R0340;C0080;347499.0
S.17.01.02.01;R0340;C0090;308968.0
S.17.01.02.01;R0340;C0100;13075.0
S.17.01.02.01;R0340;C0110;
S.17.01.02.01;R0340;C0120;
S.17.01.02.01;R0340;C0130;
S.17.01.02.01;R0340;C0140;
S.17.01.02.01;R0340;C0150;
S.17.01.02.01;R0340;C0160;
S.17.01.02.01;R0340;C0170;
S.17.01.02.01;R0340;C0180;
S.19.01.21.01;R0100;C0010;
S.19.01.21.01;R0100;C0020;
S.19.01.21.01;R0100;C0030;
S.19.01.21.01;R0100;C0040;
S.19.01.21.01;R0100;C0050;
S.19.01.21.01;R0100;C0060;
S.19.01.21.01;R0100;C0070;
S.19.01.21.01;R0100;C0080;
S.19.01.21.01;R0100;C0090;
S.19.01.21.01;R0100;C0100;
S.19.01.21.01;R0100;C0110;4521.0
S.19.01.21.01;R0160;C0010;729292.0
S.19.01.21.01;R0160;C0020;218099.0
S.19.01.21.01;R0160;C0030;32318.0
S.19.01.21.01;R0160;C0040;17884.0
S.19.01.21.01;R0160;C0050;9826.0
S.19.01.21.01;R0160;C0060;7735.0
S.19.01.21.01;R0160;C0070;5116.0
S.19.01.21.01;R0160;C0080;5461.0
S.19.01.21.01;R0160;C0090;5824.0
S.19.01.21.01;R0160;C0100;142.0
S.19.01.21.01;R0160;C0110;
S.19.01.21.01;R0170;C0010;714382.0
S.19.01.21.01;R0170;C0020;232871.0
S.19.01.21.01;R0170;C0030;39255.0
S.19.01.21.01;R0170;C0040;39848.0
S.19.01.21.01;R0170;C0050;11801.0
S.19.01.21.01;R0170;C0060;7022.0
S.19.01.21.01;R0170;C0070;7744.0
S.19.01.21.01;R0170;C0080;4958.0
S.19.01.21.01;R0170;C0090;2605.0
S.19.01.21.01;R0170;C0100;
S.19.01.21.01;R0170;C0110;
S.19.01.21.01;R0180;C0010;769910.0
S.19.01.21.01;R0180;C0020;232951.0
S.19.01.21.01;R0180;C0030;42556.0
S.19.01.21.01;R0180;C0040;26758.0
S.19.01.21.01;R0180;C0050;14003.0
S.19.01.21.01;R0180;C0060;23320.0
S.19.01.21.01;R0180;C0070;9600.0
S.19.01.21.01;R0180;C0080;14891.0
S.19.01.21.01;R0180;C0090;
S.19.01.21.01;R0180;C0100;
S.19.01.21.01;R0180;C0110;
S.19.01.21.01;R0190;C0010;797679.0
S.19.01.21.01;R0190;C0020;266492.0
S.19.01.21.01;R0190;C0030;46597.0
S.19.01.21.01;R0190;C0040;28338.0
S.19.01.21.01;R0190;C0050;24731.0
S.19.01.21.01;R0190;C0060;13909.0
S.19.01.21.01;R0190;C0070;6231.0
S.19.01.21.01;R0190;C0080;
S.19.01.21.01;R0190;C0090;
S.19.01.21.01;R0190;C0100;
S.19.01.21.01;R0190;C0110;
S.19.01.21.01;R0200;C0010;772117.0
S.19.01.21.01;R0200;C0020;259721.0
S.19.01.21.01;R0200;C0030;45558.0
S.19.01.21.01;R0200;C0040;43574.0
S.19.01.21.01;R0200;C0050;16785.0
S.19.01.21.01;R0200;C0060;12501.0
S.19.01.21.01;R0200;C0070;
S.19.01.21.01;R0200;C0080;
S.19.01.21.01;R0200;C0090;
S.19.01.21.01;R0200;C0100;
S.19.01.21.01;R0200;C0110;
S.19.01.21.01;R0210;C0010;697226.0
S.19.01.21.01;R0210;C0020;279240.0
S.19.01.21.01;R0210;C0030;40176.0
S.19.01.21.01;R0210;C0040;22257.0
S.19.01.21.01;R0210;C0050;13186.0
S.19.01.21.01;R0210;C0060;
S.19.01.21.01;R0210;C0070;
S.19.01.21.01;R0210;C0080;
S.19.01.21.01;R0210;C0090;
S.19.01.21.01;R0210;C0100;
S.19.01.21.01;R0210;C0110;
S.19.01.21.01;R0220;C0010;984890.0
S.19.01.21.01;R0220;C0020;300414.0
S.19.01.21.01;R0220;C0030;40312.0
S.19.01.21.01;R0220;C0040;19155.0
S.19.01.21.01;R0220;C0050;
S.19.01.21.01;R0220;C0060;
S.19.01.21.01;R0220;C0070;
S.19.01.21.01;R0220;C0080;
S.19.01.21.01;R0220;C0090;
S.19.01.21.01;R0220;C0100;
S.19.01.21.01;R0220;C0110;
S.19.01.21.01;R0230;C0010;755064.0
S.19.01.21.01;R0230;C0020;232358.0
S.19.01.21.01;R0230;C0030;23490.0
S.19.01.21.01;R0230;C0040;
S.19.01.21.01;R0230;C0050;
S.19.01.21.01;R0230;C0060;
S.19.01.21.01;R0230;C0070;
S.19.01.21.01;R0230;C0080;
S.19.01.21.01;R0230;C0090;
S.19.01.21.01;R0230;C0100;
S.19.01.21.01;R0230;C0110;
S.19.01.21.01;R0240;C0010;783403.0
S.19.01.21.01;R0240;C0020;272029.0
S.19.01.21.01;R0240;C0030;
S.19.01.21.01;R0240;C0040;
S.19.01.21.01;R0240;C0050;
S.19.01.21.01;R0240;C0060;
S.19.01.21.01;R0240;C0070;
S.19.01.21.01;R0240;C0080;
S.19.01.21.01;R0240;C0090;
S.19.01.21.01;R0240;C0100;
S.19.01.21.01;R0240;C0110;
S.19.01.21.01;R0250;C0010;740912.0
S.19.01.21.01;R0250;C0020;
S.19.01.21.01;R0250;C0030;
S.19.01.21.01;R0250;C0040;
S.19.01.21.01;R0250;C0050;
S.19.01.21.01;R0250;C0060;
S.19.01.21.01;R0250;C0070;
S.19.01.21.01;R0250;C0080;
S.19.01.21.01;R0250;C0090;
S.19.01.21.01;R0250;C0100;
S.19.01.21.01;R0250;C0110;
S.19.01.21.02;R0100;C0170;4521.0
S.19.01.21.02;R0100;C0180;4521.0
S.19.01.21.02;R0160;C0170;142.0
S.19.01.21.02;R0160;C0180;1031696.0
S.19.01.21.02;R0170;C0170;2605.0
S.19.01.21.02;R0170;C0180;1060484.0
S.19.01.21.02;R0180;C0170;14891.0
S.19.01.21.02;R0180;C0180;1133989.0
S.19.01.21.02;R0190;C0170;6231.0
S.19.01.21.02;R0190;C0180;1183976.0
S.19.01.21.02;R0200;C0170;12501.0
S.19.01.21.02;R0200;C0180;1150257.0
S.19.01.21.02;R0210;C0170;13186.0
S.19.01.21.02;R0210;C0180;1052085.0
S.19.01.21.02;R0220;C0170;19155.0
S.19.01.21.02;R0220;C0180;1344770.0
S.19.01.21.02;R0230;C0170;23490.0
S.19.01.21.02;R0230;C0180;1010911.0
S.19.01.21.02;R0240;C0170;272029.0
S.19.01.21.02;R0240;C0180;1055431.0
S.19.01.21.02;R0250;C0170;740912.0
S.19.01.21.02;R0250;C0180;740912.0
S.19.01.21.02;R0260;C0170;1109663.0
S.19.01.21.02;R0260;C0180;10769032.0
S.19.01.21.03;R0100;C0200;
S.19.01.21.03;R0100;C0210;
S.19.01.21.03;R0100;C0220;
S.19.01.21.03;R0100;C0230;
S.19.01.21.03;R0100;C0240;
S.19.01.21.03;R0100;C0250;
S.19.01.21.03;R0100;C0260;
S.19.01.21.03;R0100;C0270;
S.19.01.21.03;R0100;C0280;
S.19.01.21.03;R0100;C0290;
S.19.01.21.03;R0100;C0300;220693.0
S.19.01.21.03;R0160;C0200;399205.0
S.19.01.21.03;R0160;C0210;159214.0
S.19.01.21.03;R0160;C0220;105511.0
S.19.01.21.03;R0160;C0230;95520.0
S.19.01.21.03;R0160;C0240;81210.0
S.19.01.21.03;R0160;C0250;68208.0
S.19.01.21.03;R0160;C0260;64445.0
S.19.01.21.03;R0160;C0270;54727.0
S.19.01.21.03;R0160;C0280;46535.0
S.19.01.21.03;R0160;C0290;40515.0
S.19.01.21.03;R0160;C0300;
S.19.01.21.03;R0170;C0200;445473.0
S.19.01.21.03;R0170;C0210;194187.0
S.19.01.21.03;R0170;C0220;165990.0
S.19.01.21.03;R0170;C0230;109919.0
S.19.01.21.03;R0170;C0240;100611.0
S.19.01.21.03;R0170;C0250;81914.0
S.19.01.21.03;R0170;C0260;71905.0
S.19.01.21.03;R0170;C0270;69500.0
S.19.01.21.03;R0170;C0280;58438.0
S.19.01.21.03;R0170;C0290;
S.19.01.21.03;R0170;C0300;
S.19.01.21.03;R0180;C0200;429183.0
S.19.01.21.03;R0180;C0210;247765.0
S.19.01.21.03;R0180;C0220;166724.0
S.19.01.21.03;R0180;C0230;148055.0
S.19.01.21.03;R0180;C0240;147235.0
S.19.01.21.03;R0180;C0250;111924.0
S.19.01.21.03;R0180;C0260;104430.0
S.19.01.21.03;R0180;C0270;80210.0
S.19.01.21.03;R0180;C0280;
S.19.01.21.03;R0180;C0290;
S.19.01.21.03;R0180;C0300;
S.19.01.21.03;R0190;C0200;533369.0
S.19.01.21.03;R0190;C0210;262813.0
S.19.01.21.03;R0190;C0220;177467.0
S.19.01.21.03;R0190;C0230;146057.0
S.19.01.21.03;R0190;C0240;126071.0
S.19.01.21.03;R0190;C0250;106739.0
S.19.01.21.03;R0190;C0260;102210.0
S.19.01.21.03;R0190;C0270;
S.19.01.21.03;R0190;C0280;
S.19.01.21.03;R0190;C0290;
S.19.01.21.03;R0190;C0300;
S.19.01.21.03;R0200;C0200;589742.0
S.19.01.21.03;R0200;C0210;278793.0
S.19.01.21.03;R0200;C0220;210643.0
S.19.01.21.03;R0200;C0230;165268.0
S.19.01.21.03;R0200;C0240;136490.0
S.19.01.21.03;R0200;C0250;109568.0
S.19.01.21.03;R0200;C0260;
S.19.01.21.03;R0200;C0270;
S.19.01.21.03;R0200;C0280;
